Posted date,Job title,Company name,Location,Skills,Links,Salaries,Requirements
3 days ago,Junior Data Analyst,Wadi Group -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · females_only · Operations/Management · Analyst/Research · Data Analysis · Data Analytics · Statistical Analysis · Planning · Organizing · Communication · Critical thinking · Report writing,/jobs/p/deipudnut5wh-junior-data-analyst-wadi-group-giza-egypt,Not Mentioned,"Ready to Embark on Your Data Analysis Journey? | We're looking for enthusiastic and talented individuals who are eager to learn and grow. To be successful in this role, you'll need: | Educational Foundation:A bachelor's degree in a quantitative field such as mathematics, statistics, computer science, or a related area is highly desired. | Analytical Prowess:A strong understanding of data analysis techniques and statistical concepts. | Technical Skills:Proficiency inData Analysis,Data Analytics, andStatistical Analysis. Familiarity with tools likeSQL, Power BI, Power Query, andExcelis a plus. | Essential Skills:ExcellentPlanningandOrganizingskills are crucial for managing data effectively. | Experience:0-2 yearsof relevant experience. This is an excellentEntry Levelopportunity! | Communication Skills:The ability to clearly communicate findings and insights to both technical and non-technical audiences. | Problem-Solving Skills:A knack for identifying and solving complex data-related problems. | English Language Skills | If you're a motivated and detail-oriented individual with a passion for data, we encourage you to apply!"
4 days ago,Data Analyst manager,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteManager · 5 - 7 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Analyst · Analysis · Data Analysis · Data Analyst · analytical,/jobs/p/wm0gnesr8hq3-data-analyst-manager-cairo-egypt,Not Mentioned,"Bachelor’s degree in Data Science, Statistics, Computer Science, Information Systems, or related field. | Master’s degree is a plus. | 5+ years of experience in data analysis, business intelligence, or analytics. | At least 3 years in a managerial or team lead role. | Strong proficiency in: | SQL | Power BI and/or Tableau | Advanced Excel | Experience with data warehousing and ETL processes. | Familiarity with Python or R is a plus."
4 days ago,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · Analyst/Research · Sales/Retail · Invoices · Auditing · Selling Database · Selling Volume · Analyst · Commerce · Administration · Commercial,/jobs/p/elmap2ottk20-commercial-specialist-data-analyst-chinese-speaker-oppo-egypt-cairo-egypt,Not Mentioned,"1-2 years of exp. Fresh graduates are most welcome to apply | Very Good Microsoft office | Chinese HSK5 | Highly motivated and willing to learn | Hard worker, passionate and excellent team player | Excellent English | Capable of handling multiple tasks with excellent results | Able to deal with different cultures and personalities"
12 days ago,Senior Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Microsoft SQL · SQL · Power BI,/jobs/p/pdbhnhmsyty2-senior-data-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt,Not Mentioned,"Bachelor's or master's degree in a quantitative field such as Mathematics, Statistics, Data Science, or Business Analytics | 3:5 years of previous work-related experience in data analysis. | ITI Business Intelligence Track is a plus. | Possess a solid foundation in statistics and practical experience with statistical software (such as Excel, SPSS, SAS) and mastery in data analysis languages including SQL, Python, and R. | Strong understanding of statistical methods, machine learning, and data mining techniques. | Hands-on experience in writing complex SQL and database performance tuning. | Proven track record of delivering impactful data-driven insights and recommendations using business intelligence tools (e.g., Power BI, Tableau). | 3+ years of hands-on experience in the design and implementation of ETL framework for complex data warehouse projects. | Should have expert-level experience in building data lakes and data marts by working with each business unit and building high-impact BI reports. | Strong experience in SSIS. | Demonstrate superior communication and presentation capabilities, adept at simplifying complex data insights for audiences without a technical background. | Experience in project management and mentoring junior team members."
12 days ago,Data Analyst,HIGHBASE TRADING W.L.L -,"Cairo, Egypt ",Full TimeRemoteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Data Analysis · SQL · Excel · Power BI · Python,/jobs/p/l2cctgjsulvx-data-analyst-highbase-trading-w-l-l-cairo-egypt,Not Mentioned,"Required Skills & Experience: | Proven experience in data analysis and processing, preferably in an e-commerce environment | Proficient in Microsoft Excel, SQL, and Python | Hands-on experience with data scraping, data entry, and marketing data processing | Familiarity with vendor onboarding processes and product data uploads | Strong attention to detail and ability to manage high-volume data efficiently | Excellent problem-solving and communication skills | Fluency in English and Arabic is required | Preferred Qualifications: | Bachelor’s degree in Data Science, Information Management, Business Intelligence, or a related field | Experience using PIMCORE, AWS RDS, or similar data management tools | Knowledge of lead generation strategies and tools is a plus | What We Offer: | A dynamic, innovative role at the forefront of e-commerce technology | Opportunities for professional growth in a collaborative and evolving environment | Exposure to regional and global digital operations"
9 days ago,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Industrial Engineering · Data Analysis · Process Improvement · Time and Motion Study · Lean Manufacturing · Power BI · Microsoft Excel,/jobs/p/otijztbj8wil-ie-data-analyst-industrial-engineering-garments-or-apparel-manufacturing-tc-garments-cairo-egypt,Not Mentioned,"Bachelor’s degree in Industrial Engineering, Data Analytics, Statistics, or a related field. | 2-5 years of experience in data analysis within a garments, apparel, or manufacturing environment. | Proficiency in data analysis tools such as Microsoft Excel, Power BI, or similar platforms. | Strong understanding of industrial engineering principles and manufacturing processes. | Experience with time and motion studies, workflow optimization, and process mapping. | Excellent analytical, problem-solving, and critical-thinking skills. | Ability to communicate complex data findings clearly to non-technical stakeholders. | Demonstrated ability to work collaboratively in a fast-paced, cross-functional team environment. | Strong attention to detail and commitment to data accuracy. | Ability to manage multiple priorities and meet deadlines in a dynamic setting."
13 days ago,Data Analyst,GPS -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Analyst/Research · SQL · Microsoft Excel · Power BI · Tableau · Data Analysis · Data Visualization · Reporting · Problem Solving · Statistical Analysis,/jobs/p/udg6wsijjfs7-data-analyst-gps-cairo-egypt,Not Mentioned,"1-5 years of proven experience as a Data Analyst or in a similar analytical role. | Strong analytical and problem-solving skills with the ability to interpret complex datasets. | Proficiency in data analysis tools such as Excel, SQL, or Python. | Experience with data visualization platforms like Power BI or Tableau. | Excellent attention to detail and a commitment to data accuracy. | Ability to communicate complex findings in a clear and concise manner. | Strong organizational and time management skills. | Ability to work effectively in a fast-paced, office-based environment. | Demonstrated ability to collaborate with cross-functional teams. | Familiarity with data privacy and security best practices."
16 days ago,Data Analyst And Reporting,EBNY developments -,"Heliopolis, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · males_preferred · Analyst/Research · Data Analysis · Power BI · Data Visualization · Excel · Business Intelligence · Data Governance · Reporting · Statistical Analysis,/jobs/p/zezcdnv3p59k-data-analyst-and-reporting-ebny-developments-cairo-egypt,Not Mentioned,"Bachelor’s degree in Data Science, Statistics, Computer Science, Business Analytics, or a related field. | 2-5 years of experience in data analysis and reporting roles. | Proficiency in data analysis tools such as SQL, Excel, and business intelligence platforms (e.g., Power BI, Tableau). | Strong analytical and problem-solving skills with attention to detail. | Experience in designing and maintaining dashboards and data visualization tools. | Ability to translate complex data into clear, actionable insights for non-technical stakeholders. | Excellent communication and presentation skills. | Strong organizational skills and ability to manage multiple priorities in a fast-paced environment. | Familiarity with data governance, data quality, and data management best practices. | Ability to work independently and collaboratively within a team."
17 days ago,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Business Data Analysis · Business Intelligence (BI) · English B2 · Power BI · Databases · DWH · SQL · ETL Processes · Data Mining,/jobs/p/xqn8he7opiiv-middle-business-data-analyst-bi-engineer-vertex-technologies-cairo-egypt,Not Mentioned,"Master’s degree in Economics, Mathematics, Computer Science, or a related field. | Upper-Intermediate level of English. | Experience with BI tools (Power BI, Tableau, etc.). | Experience working with databases (PostgreSQL or others). | Understanding of DWH principles (Snowflake, BigQuery, Redshift, etc.). | Strong SQL skills (data modeling, complex queries, window functions). | Understanding of ETL processes. | Advanced Excel skills. | Experience in data mining and data analysis. | Ability to translate business requirements into technical specifications. | Understanding of SDLC principles. | Knowledge of business analysis techniques (Use Cases, User Stories, Story Mapping, prioritization, estimation). | Experience with Git/VCS. | Ability to work in a team, openness to feedback, and a sense of responsibility. | Willingness to learn and grow under the guidance of experienced mentors. | Strong analytical thinking and the ability to identify root causes of issues. | Accuracy in working with documentation and attention to detail. | A good level of English for communication within an international team. | Experience in analytical projects as a BA or BI specialist. | Practical experience with ETL pipeline tools. | Experience visualizing complex models and large datasets."
19 days ago,Data Analyst Specialist,OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Analyst/Research · Data Analysis · Data Visualization · Excel · Business Intelligence · Statistical Analysis · Problem Solving · Communication · Reporting · Python,/jobs/p/yglngxybzz5l-data-analyst-specialist-oppo-egypt-cairo-egypt,Not Mentioned,Bachelor's Degree. | Advanced Excel. | Very good English | Fresh graduates are welcomed
